package	metadata_names	description	license	status	registered_module	binding_flag	configuration_file	delivery	implementation_evidence	python_stub_status	docstring_status	test_status	missing_apis_or_deficiencies	blocker	evidence_state
Convex_hull_2	Convex_hull_2	2d convex hull algorithms	GPL (v3 or later)	PARTIAL	Ch2	CGALPY_CONVEX_HULL_2_BINDINGS	cmake/modules/convex_hull_2_options.cmake	Registered Ch2 module with one Boolean binding flag, one binding source, a fixed ch2 library-name component and six maintained CMake configurations. Five configurations have schema-version-1 build-variant manifests, but ch2_epic_fixed.cmake has no corresponding manifest. Two complete preserved aggregate builds, one EPEC and one EPIC, contain Ch2 extensions, wheels, identical module stubs and identical generated documentation. No focused preserved Ch2 build or fresh current-HEAD Ch2 build was performed.	Current source exports eleven module-level functions: seven convex-hull construction algorithms, two strong-convexity predicates and lower- and upper-hull generation. List-returning wrappers adapt Python lists of kernel Point_2 values to CGAL iterators and collect output points into new Python lists. The two predicates return Python bool values. The wrapper exports no classes, enums, traits objects or configurable traits parameters.	Preserved EPEC and EPIC Ch2 stubs are byte-identical, parse successfully and declare exactly eleven functions and no classes. Their top-level public function sets exactly match both preserved runtimes. List-producing functions are typed as accepting list and returning list, while the two convexity predicates return bool.	Convex_hull_2.json is present and contains documentation for all eleven bound functions, nine documented but unbound functions and the documented Convex Hull traits interfaces. Generated Ch2_docstrings.hpp and Ch2_docstrings.cpp artifacts are identical between preserved EPEC and EPIC builds. Several Python stub docstrings retain C++-oriented traits, iterator and OutputIterator descriptions, including ch_traits parameters not present in the Python signatures and OutputIterator return descriptions where Python returns list.	Preserved aggregate EPEC and EPIC extensions import from exact expected paths and expose exact stub/runtime parity. All eleven Ch2 functions pass representative geometric tests, including all construction algorithms, a valid Melkman polyline, lower and upper hull generation and both orientation predicates. Normalized EPEC and EPIC results are identical. CI contains a focused ch2_epec build and curated C++/Python comparisons for both array_convex_hull_2.py and vector_convex_hull_2.py. The EPEC aggregate extension reports identical nanobind shutdown diagnostics during import-only and full-Ch2 probes; these are not attributable specifically to Ch2. EPIC produces no such diagnostics.	Current source does not expose the documented ch_graham_andrew_scan, ch_jarvis_march, ch_e_point, ch_nswe_point, ch_n_point, ch_ns_point, ch_s_point, ch_w_point or ch_we_point functions. It also does not expose the documented ConvexHullTraits_2 concept or the Convex_hull_constructive_traits_2, Convex_hull_traits_2 and Convex_hull_traits_adapter_2 classes. Generated documentation is not fully adapted to the Python API because it describes unavailable ch_traits arguments and C++ iterator return types. The maintained ch2_epic_fixed configuration lacks a build-variant manifest. No focused preserved artifacts or fresh current-HEAD build were available.		VERIFIED-PARTIAL-CURRENT-SOURCE-HISTORICAL-RUNTIME
Convex_hull_3	Convex_hull_3	3D Convex Hull	GPL (v3 or later)	PARTIAL	Ch3	CGALPY_CONVEX_HULL_3_BINDINGS	cmake/modules/convex_hull_3_options.cmake	Registered Ch3 module with Polyhedron_3 and Surface_mesh polygonal-mesh backends and backend-specific library-name components ch3Pol3 and ch3Sm. Nine maintained CMake configurations enable Ch3 and all nine have schema-version-1 build-variant manifests. Seven complete preserved artifact sets cover the Polyhedron backend, including focused EPEC and EPIC variants. No complete preserved local SurfaceMesh Ch3 artifact was found. The current smoke workflow defines the sm_ch3_pmp_epec SurfaceMesh build and its curated comparison.	Current source exports two public names. convex_hull_3 accepts a Python list of Point_3 values and returns the selected polygonal mesh by value. Both backends expose points-only and points-plus-kernel overloads. Polyhedron additionally exposes points-plus-traits and points-plus-traits-plus-kernel overloads with keep_alive<0,2>. is_strongly_convex_3 exposes plain and kernel overloads for the selected polygonal mesh. Ch3 exports no module-owned Python classes or enums.	All seven preserved Polyhedron Ch3 stubs parse successfully, declare four convex_hull_3 overloads, two is_strongly_convex_3 overloads, two unique public names and no classes. Focused EPEC and EPIC stubs have equivalent semantic signatures and differ only in fully qualified extension paths. Other Polyhedron configurations preserve the same overload structure while annotating traits either as Ker.Kernel or Pol3.Polyhedron_traits_with_normals_3 according to the selected Polyhedron traits configuration. No preserved SurfaceMesh Ch3 stub was available.	Convex_hull_3.json is present and documents both bound names plus additional conversion, extreme-point, halfspace-intersection, hierarchy, adapter and traits APIs. Generated Ch3_docstrings.hpp and Ch3_docstrings.cpp are identical across all seven preserved Polyhedron artifacts. In generated stubs, the first overload of each public name carries documentation while subsequent overload declarations do not repeat it.	Focused preserved Polyhedron EPEC and EPIC extensions import from exact expected paths and match their stub public surfaces. All four convex_hull_3 overloads return exact Pol3.Polyhedron_3 objects, and both is_strongly_convex_3 overloads return true for every tested tetrahedral hull. Keyword-based kernel and traits dispatch passes, meshes remain usable after local traits variables are deleted and garbage collection runs, normalized EPEC and EPIC results are identical, and neither focused probe emits nanobind leak diagnostics. graph_hull_3.py is registered as the curated ch3_graph_hull_3 C++/Python comparison and the current workflow assigns it to sm_ch3_pmp_epec. No local SurfaceMesh runtime artifact was available for direct probing.	Current source does not expose the documented convex_hull_3_to_face_graph, extreme_point_3, extreme_points_3, extreme_vertex_3, halfspace_intersection_3, halfspace_intersection_interior_point_3, halfspace_intersection_with_constructions_3 or make_extreme_points_traits_adapter functions. It also does not expose documented Convex_hull_hierarchy_3, Convex_hull_traits_3, Extreme_points_traits_adapter_3, ConvexHullTraits_3 or IsStronglyConvexTraits_3 interfaces. No complete preserved local SurfaceMesh artifact or direct SurfaceMesh runtime probe exists. The single Python example covers only the simplest convex_hull_3 overload and does not exercise is_strongly_convex_3 or explicit traits/kernel overloads. Invalid CGALPY_CH3_POLYGONAL_MESH_NAME values are not explicitly rejected by the selector.		VERIFIED-PARTIAL-CURRENT-SOURCE-HISTORICAL-RUNTIME
Convex_hull_d	Convex_hull_d		GPL (v3 or later)	UNSUPPORTED				none	Dedicated JSON documentation input: src/libs/cgalpy/lib/docstrings/json/Convex_hull_d.json. The exact ownership audit found no direct include of a public header owned by this package in tracked binding sources and no dedicated configuration, test, or authoritative build manifest.	No registered Python module or standalone stub exists for this package.	Documentation or example source material exists, but it is not connected to a registered binding module. Such source material alone does not constitute an exposed Python API.	No dedicated binding configuration, CMake test, or authoritative build manifest exists for this package.	The package has documentation or example source material but no Python binding route. Its classes and functions are not exposed through a standalone module, stub, generated module documentation, or dedicated variant.		VERIFIED-UNSUPPORTED-DOC-ONLY-CURRENT-SOURCE
Distance_2	Distance_2	Squared distance computations for simple 2D objects.	LGPL (v3 or later)	UNSUPPORTED				none	The exact ownership audit found no direct include of a public header owned by this package in tracked binding sources, no dedicated JSON documentation input, no configuration or CMake test, no authoritative build manifest, and no dedicated Python example directory.	No registered Python module or standalone stub exists for this package.	No dedicated generated-docstring input or standalone Python module documentation was identified.	No dedicated binding configuration, CMake test, build manifest, or maintained Python example was identified.	No standalone or cross-delivered Python API is evidenced for this package. Its public API, module, stub, generated documentation, and binding-library route are absent.		VERIFIED-UNSUPPORTED-NO-BINDING-EVIDENCE-CURRENT-SOURCE
Distance_3	Distance_3	Squared distance computations for simple 3D objects.	LGPL (v3 or later)	UNSUPPORTED				none	The exact ownership audit found no direct include of a public header owned by this package in tracked binding sources, no dedicated JSON documentation input, no configuration or CMake test, no authoritative build manifest, and no dedicated Python example directory.	No registered Python module or standalone stub exists for this package.	No dedicated generated-docstring input or standalone Python module documentation was identified.	No dedicated binding configuration, CMake test, build manifest, or maintained Python example was identified.	No standalone or cross-delivered Python API is evidenced for this package. Its public API, module, stub, generated documentation, and binding-library route are absent.		VERIFIED-UNSUPPORTED-NO-BINDING-EVIDENCE-CURRENT-SOURCE
Envelope_2	Envelope_2		GPL (v3 or later)	PARTIAL	Env2	CGALPY_ENVELOPE_2_BINDINGS	cmake/modules/envelope_2_options.cmake	Registered Env2 module with one Boolean binding flag, one binding source and a fixed env2 library-name component. Three maintained configurations cover segment, linear and rational Aos2 geometry traits, and all three have schema-version-1 build-variant manifests. Two complete preserved EPEC builds, one segment and one linear, contain extensions, wheels, Env2 stubs and generated documentation. No preserved rational artifact or fresh current-HEAD Env2 build was found, and the preserved build metadata does not establish the exact cgal-python-bindings commit used.	Current source exports lower_envelope_2, lower_envelope_x_monotone_2, upper_envelope_2 and upper_envelope_x_monotone_2. Each accepts a Python list and returns a new Envelope_diagram_1. The module exports Vertex, Edge and Envelope_diagram_1 with constructors, point and curve access, curve counts, left and right navigation, leftmost and rightmost diagram access and Python curve iterators. Reference-returning accessors use reference_internal, and curve iterators use keep_alive<0,1>. The tested segment and linear runtimes expose exactly the expected seven public names and a shared Curve_iterator type between Vertex and Edge.	The preserved segment and linear Env2 stubs parse successfully. After normalizing their fully qualified extension names, their complete text and semantic surfaces are identical. Each declares four module-level functions and three classes with exactly seven unique public names. Vertex has two constructors and point, number_of_curves, left, right and curves methods; Edge has one constructor and is_empty, number_of_curves, curve, left, right and curves methods; Envelope_diagram_1 has a constructor, leftmost and rightmost. No rational-traits Env2 stub was found.	Envelope_2.json is present and documents all four bound package-level envelope functions together with the EnvelopeDiagramVertex, EnvelopeDiagramEdge and EnvelopeDiagram_1 interfaces. Current source consumes the generated Env2_docstrings.hpp header from the build tree. The preserved segment and linear builds contain byte-identical generated Env2_docstrings.hpp and Env2_docstrings.cpp artifacts. Their integration into a fresh current-HEAD Env2 build was not verified.	The exact preserved segment and linear extensions import in isolated Python 3.12 processes with empty stderr and no nanobind diagnostics. The maintained envelope_segments and convex_hull_2 Python examples execute successfully against their intended variants. Targeted probes exercise complete lower and upper diagram traversal, curve counts, curve and point access, edge and vertex iterators and limited detached reference survival after garbage collection. All four bound envelope functions execute for both variants, return exact Envelope_diagram_1 objects and produce normalized diagrams identical between each general and x-monotone function pair. No rational-traits runtime or fresh current-HEAD build was tested.	Current source does not expose the documented Vertex mutation methods add_curve, add_curves, clear_curves, set_left, set_right or set_point. Edge does not expose add_curve, add_curves, clear_curves, set_left or set_right. Envelope_diagram_1 does not expose new_vertex, new_edge, delete_vertex, delete_edge, set_leftmost or set_rightmost. The maintained rational-traits configuration has no preserved extension, wheel, stub or runtime validation and is absent from the current smoke-workflow matrix. The successful lifetime probes provide limited functional evidence only and do not prove that every ownership policy is necessary or universally correct. Preserved artifacts do not identify the exact bindings commit, and no fresh current-HEAD Env2 build was performed.		VERIFIED-PARTIAL-CURRENT-SOURCE-HISTORICAL-RUNTIME
Envelope_3	Envelope_3		GPL (v3 or later)	PARTIAL	Env3	CGALPY_ENVELOPE_3_BINDINGS	cmake/modules/envelope_3_options.cmake	Registered Env3 module with one Boolean binding flag, one binding source and a fixed env3 library-name component. Five maintained configurations cover plane EPEC, plane surface-data EPEC, sphere CCR, sphere EPEC and triangle surface-data EPEC, and all five have valid schema-version-1 build-variant manifests. Direct smoke-workflow coverage exists only for sphere CCR and triangle surface-data. One preserved triangle surface-data build contains an extension, wheel, Env3 stub and generated documentation. No preserved artifacts were found for the other four variants, and no fresh current-HEAD Env3 build was performed.	"Current source exports Dac_decision, Envelope_diagram_on_surface_2, Envelope_diagram_2 and lower_envelope_3, lower_envelope_xy_monotone_3, upper_envelope_3 and upper_envelope_xy_monotone_3. General functions accept Python lists of Surface_3 objects, xy-monotone functions accept lists of Xy_monotone_surface_3 objects, and all return a new Envelope_diagram_2. Plane, sphere, triangle and optional surface-data traits are exported through Aos2. The preserved triangle runtime exposes the expected Env3 API, supports diagram construction, triangle and decorated-surface construction and Python data identity round trips. The triangle exporter incorrectly tests add_attr<Seg_gt>(m, ""Arr_conic_traits_2"") before exporting segment traits, creating an unintended Arr_conic_traits_2 alias of Arr_segment_traits_2. Both diagram classes expose raw traits-pointer constructors without a nanobind lifetime policy."	The preserved root, Env3, Aos2 and Ker stubs parse successfully. Env3 declares Dac_decision, both diagram classes and all four module functions. Diagram traits-pointer constructors are typed with Aos2.Env_surface_data_traits_3. The Aos2 stub declares Arr_segment_traits_2, Env_triangle_traits_3 and Env_surface_data_traits_3. It correctly omits the unintended runtime Arr_conic_traits_2 alias, but it also omits the public runtime Xy_monotone_surface_3 aliases exposed by Env_triangle_traits_3 and Env_surface_data_traits_3. Runtime inspection shows triangle Surface_3 and Xy_monotone_surface_3 are the same type, while the decorated data Surface_3 is distinct and its Xy_monotone_surface_3 alias resolves to the base triangle surface.	Envelope_3.json is present, parses successfully, contains fourteen compounds with zero skipped compounds and documents all four bound package functions together with the relevant diagram and traits interfaces. Current source consumes the generated Env3_docstrings.hpp header from the build tree. The preserved generated header and source contain sixty-five matched declarations and definitions, use namespace cgalpy::env3::docstrings, are wired through the binding source and contain no forbidden CGAL_ docstring identifiers. The shared current generator emits extern const char* const rather than the required constexpr const char* form. The incorrect lower-envelope sentence in upper_envelope_xy_monotone_3 originates in the current tracked CGAL Envelope_3 reference-manual source and propagates through JSON and generated C++ documentation.	The exact preserved triangle surface-data extension imports in an isolated Python 3.12 process. Targeted probes verify expected module names, enum values, diagram constructors, triangle surfaces, decorated surface data and runtime alias behavior. The maintained envelope_triangles example completes with empty stderr and exercises lower and upper envelope construction, diagram faces, edges and surface labels. A separate retention audit constructs both diagram types with a Python traits object and observes zero Python-reference count increase while the diagram remains alive after deletion of the Python variable. Weak references are unsupported, so wrapper destruction was not directly observed and no diagram method was invoked after deletion. No sphere or plane preserved runtime, no complete general-versus-xy-monotone functional parity test and no fresh current-HEAD Env3 build were performed.	Only one of five maintained variants has preserved build and runtime evidence, and current direct smoke-workflow coverage covers only two variants. The plane surface-data configuration selects plane traits but its cache help text says Triangles. The example-to-CMake mapping still references an orphaned env3_tri_epec configuration for which no maintained configuration or manifest exists. The triangle traits exporter creates an unintended Arr_conic_traits_2 alias. Generated stubs omit public Xy_monotone_surface_3 aliases. Both diagram traits-pointer constructors forward a raw pointer into Arrangement_on_surface_2, which stores externally supplied geometry traits non-owningly, while the Python bindings do not keep the traits wrapper alive; historical runtime confirms zero Python-reference retention. The shared docstring generator does not use the required constexpr declaration form, and current upstream CGAL reference documentation contains an upper-envelope wording typo. Preserved artifacts do not identify the exact bindings commit, and no fresh current-HEAD Env3 or all-variant build validation was performed.		VERIFIED-PARTIAL-CURRENT-SOURCE-HISTORICAL-RUNTIME
Filtered_kernel	Filtered_kernel	Filtered kernel families.	LGPL (v3 or later)	PARTIAL				Dependency or cross-package delivery through existing registered bindings; no standalone Python module is registered for this CGAL package.	Tracked binding sources directly include 1 public header(s) owned by this package from 1 binding source/header file(s). Included headers: CGAL/Filtered_kernel.h. Binding files: src/libs/cgalpy/include/cgalpy/kernel_type.hpp.	No standalone package stub exists. Python-visible symbols derived from these headers can appear only in stubs for the registered modules containing the wrapper code.	No dedicated package JSON documentation input or standalone generated Python documentation module was identified.	No dedicated package configuration, CMake test, or authoritative build manifest was identified. Coverage is indirect through registered variants compiling the listed binding files.	The package is not independently bound. Only selected headers are consumed as dependencies or cross-package implementation details; its complete public API, standalone module, independent stub, module documentation, and dedicated build route are absent.		VERIFIED-PARTIAL-DEPENDENCY-CURRENT-SOURCE
Frechet_distance	Frechet_distance	Frechet distance on dD polylines	GPL (v3 or later)	UNSUPPORTED				none	Dedicated JSON documentation input: src/libs/cgalpy/lib/docstrings/json/Frechet_distance.json. The exact ownership audit found no direct include of a public header owned by this package in tracked binding sources and no dedicated configuration, test, or authoritative build manifest.	No registered Python module or standalone stub exists for this package.	Documentation or example source material exists, but it is not connected to a registered binding module. Such source material alone does not constitute an exposed Python API.	No dedicated binding configuration, CMake test, or authoritative build manifest exists for this package.	The package has documentation or example source material but no Python binding route. Its classes and functions are not exposed through a standalone module, stub, generated module documentation, or dedicated variant.		VERIFIED-UNSUPPORTED-DOC-ONLY-CURRENT-SOURCE
Generalized_map	Generalized_map	Generalized map in d-dimension	LGPL (v3 or later)	UNSUPPORTED				none	Dedicated JSON documentation input: src/libs/cgalpy/lib/docstrings/json/Generalized_map.json. The exact ownership audit found no direct include of a public header owned by this package in tracked binding sources and no dedicated configuration, test, or authoritative build manifest.	No registered Python module or standalone stub exists for this package.	Documentation or example source material exists, but it is not connected to a registered binding module. Such source material alone does not constitute an exposed Python API.	No dedicated binding configuration, CMake test, or authoritative build manifest exists for this package.	The package has documentation or example source material but no Python binding route. Its classes and functions are not exposed through a standalone module, stub, generated module documentation, or dedicated variant.		VERIFIED-UNSUPPORTED-DOC-ONLY-CURRENT-SOURCE
Generator	Generator	Geometric object generators: Random and synthetic point distributions, random convex sets, etc.	LGPL (v3 or later)	PARTIAL	Gog	CGALPY_GEOMETRIC_OBJECT_GENERATORS_BINDINGS	cmake/modules/geometric_object_generators_options.cmake	registered Gog module with maintained gog_epic and gog_epicd_4 runner variants and manifests. Dedicated test configurations set the correct cache variable directly, but the user-facing top-level CMake option is misspelled. No configured or compiled Gog build was found.	Current geometric_object_generators_bindings.cpp exposes Python iterator bindings for Random_points_in_disc_2 and Random_points_in_sphere_3, plus Random_points_in_cube_d when Kernel_d bindings are enabled. Two focused Python examples use Random_points_in_disc_2 and Random_points_in_cube_d.	No generated Gog module stub was found because no configured or compiled Gog build was located. Runtime-visible signatures and stub syntax therefore remain unverified.	Generator.json contains 36 compounds. Standalone build-tree Gog_docstrings.hpp and Gog_docstrings.cpp artifacts were found, and the current source consumes Gog_docstrings.hpp. No compiled Gog build was available to verify integrated docstring delivery.	Maintained gog_epic and gog_epicd_4 runner entries, CMake tests and manifests exist. Both runner dry-runs exited successfully and resolved detached configure/build commands. No matching CMake cache, extension, wheel or Gog stub was found. The two focused examples were inspected but not executed.	The top-level option is incorrectly named CGALPY_GEOMETRIC_OBJECT_GENERATORS__BINDINGS with an extra underscore and incorrectly describes 3D Envelopes, while all consumers use CGALPY_GEOMETRIC_OBJECT_GENERATORS_BINDINGS. Only three concrete generator classes are bound. Numerous documented generators, including square, circle, segment, triangle, tetrahedron, sphere, ball, cube_3 and mesh/soup generators, are not exposed. Runtime, wheel and module-stub evidence is absent.		VERIFIED-PARTIAL-CURRENT-SOURCE-NO-RUNTIME
GraphicsView	GraphicsView	The future 2D graphics package using the GraphicsView framework https://doc.qt.io/qt-5/graphicsview.html	GPL (v3 or later) UNKNOWN	UNSUPPORTED				none	Dedicated JSON documentation input: src/libs/cgalpy/lib/docstrings/json/GraphicsView.json. The exact ownership audit found no direct include of a public header owned by this package in tracked binding sources and no dedicated configuration, test, or authoritative build manifest.	No registered Python module or standalone stub exists for this package.	Documentation or example source material exists, but it is not connected to a registered binding module. Such source material alone does not constitute an exposed Python API.	No dedicated binding configuration, CMake test, or authoritative build manifest exists for this package.	The package has documentation or example source material but no Python binding route. Its classes and functions are not exposed through a standalone module, stub, generated module documentation, or dedicated variant.		VERIFIED-UNSUPPORTED-DOC-ONLY-CURRENT-SOURCE
HalfedgeDS	HalfedgeDS	Halfedge data structures, new design.	LGPL (v3 or later)	PARTIAL				Dependency or cross-package delivery through existing registered bindings; no standalone Python module is registered for this CGAL package.	Tracked binding sources directly include 4 public header(s) owned by this package from 4 binding source/header file(s). Included headers: CGAL/HalfedgeDS_face_base.h; CGAL/HalfedgeDS_halfedge_base.h; CGAL/HalfedgeDS_vertex_base.h; CGAL/Polyhedron_items_3.h. Binding files: src/libs/cgalpy/include/cgalpy/Hds_face_with_data.hpp; src/libs/cgalpy/include/cgalpy/Hds_halfedge_with_data.hpp; src/libs/cgalpy/include/cgalpy/Hds_vertex_with_data.hpp; src/libs/cgalpy/include/cgalpy/pol3/polyhedron_3_types.hpp.	No standalone package stub exists. Python-visible symbols derived from these headers can appear only in stubs for the registered modules containing the wrapper code.	A dedicated package JSON documentation input exists: src/libs/cgalpy/lib/docstrings/json/HalfedgeDS.json. No standalone generated Python documentation module is registered for this package.	No dedicated package configuration, CMake test, or authoritative build manifest was identified. Coverage is indirect through registered variants compiling the listed binding files.	The package is not independently bound. Only selected headers are consumed as dependencies or cross-package implementation details; its complete public API, standalone module, independent stub, module documentation, and dedicated build route are absent.		VERIFIED-PARTIAL-DEPENDENCY-CURRENT-SOURCE
Hash_map	Hash_map	Simple Incremental Hash Map	LGPL (v3 or later)	UNSUPPORTED				none	The exact ownership audit found no direct include of a public header owned by this package in tracked binding sources, no dedicated JSON documentation input, no configuration or CMake test, no authoritative build manifest, and no dedicated Python example directory.	No registered Python module or standalone stub exists for this package.	No dedicated generated-docstring input or standalone Python module documentation was identified.	No dedicated binding configuration, CMake test, build manifest, or maintained Python example was identified.	No standalone or cross-delivered Python API is evidenced for this package. Its public API, module, stub, generated documentation, and binding-library route are absent.		VERIFIED-UNSUPPORTED-NO-BINDING-EVIDENCE-CURRENT-SOURCE
Heat_method_3	Heat_method_3	See https://www.cs.cmu.edu/~kmcrane/Projects/HeatMethod/index.html	GPL (v3 or later)	UNSUPPORTED				none	Dedicated JSON documentation input: src/libs/cgalpy/lib/docstrings/json/Heat_method_3.json. The exact ownership audit found no direct include of a public header owned by this package in tracked binding sources and no dedicated configuration, test, or authoritative build manifest.	No registered Python module or standalone stub exists for this package.	Documentation or example source material exists, but it is not connected to a registered binding module. Such source material alone does not constitute an exposed Python API.	No dedicated binding configuration, CMake test, or authoritative build manifest exists for this package.	The package has documentation or example source material but no Python binding route. Its classes and functions are not exposed through a standalone module, stub, generated module documentation, or dedicated variant.		VERIFIED-UNSUPPORTED-DOC-ONLY-CURRENT-SOURCE
Homogeneous_kernel	Homogeneous_kernel	2D and 3D kernel with homogeneous representation	LGPL (v3 or later)	UNSUPPORTED				none	The exact ownership audit found no direct include of a public header owned by this package in tracked binding sources, no dedicated JSON documentation input, no configuration or CMake test, no authoritative build manifest, and no dedicated Python example directory.	No registered Python module or standalone stub exists for this package.	No dedicated generated-docstring input or standalone Python module documentation was identified.	No dedicated binding configuration, CMake test, build manifest, or maintained Python example was identified.	No standalone or cross-delivered Python API is evidenced for this package. Its public API, module, stub, generated documentation, and binding-library route are absent.		VERIFIED-UNSUPPORTED-NO-BINDING-EVIDENCE-CURRENT-SOURCE
Hyperbolic_triangulation_2	Hyperbolic_triangulation_2	Package 2D hyperbolic triangulation: provides Delaunay triangulations in the Poincaré disk model of the hyperbolic plane, with demos, examples, and tests.	GPL (v3 or later)	UNSUPPORTED				none	Dedicated JSON documentation input: src/libs/cgalpy/lib/docstrings/json/Hyperbolic_triangulation_2.json. The exact ownership audit found no direct include of a public header owned by this package in tracked binding sources and no dedicated configuration, test, or authoritative build manifest.	No registered Python module or standalone stub exists for this package.	Documentation or example source material exists, but it is not connected to a registered binding module. Such source material alone does not constitute an exposed Python API.	No dedicated binding configuration, CMake test, or authoritative build manifest exists for this package.	The package has documentation or example source material but no Python binding route. Its classes and functions are not exposed through a standalone module, stub, generated module documentation, or dedicated variant.		VERIFIED-UNSUPPORTED-DOC-ONLY-CURRENT-SOURCE
Inscribed_areas	Inscribed_areas		GPL (v3 or later)	UNSUPPORTED				none	Dedicated JSON documentation input: src/libs/cgalpy/lib/docstrings/json/Inscribed_areas.json. The exact ownership audit found no direct include of a public header owned by this package in tracked binding sources and no dedicated configuration, test, or authoritative build manifest.	No registered Python module or standalone stub exists for this package.	Documentation or example source material exists, but it is not connected to a registered binding module. Such source material alone does not constitute an exposed Python API.	No dedicated binding configuration, CMake test, or authoritative build manifest exists for this package.	The package has documentation or example source material but no Python binding route. Its classes and functions are not exposed through a standalone module, stub, generated module documentation, or dedicated variant.		VERIFIED-UNSUPPORTED-DOC-ONLY-CURRENT-SOURCE
Installation	Installation	Contains the installation script (with documentation) and some files that are necessary for the installation and configuration.	LGPL (v3 or later)	NOT-APPLICABLE				installation infrastructure		Not applicable: this package contains installation and configuration infrastructure rather than a registered Python API module, so no standalone Python stub is expected.			Installation and configuration infrastructure.		VERIFIED
Interpolation	Interpolation	Package Interpolation: provides interpolation functions and functions for computing natural neighbor coordinates natural_neighbor_coordinates_3 offers both Sibson and Laplace coordinates	GPL (v3 or later)	UNSUPPORTED				none	Dedicated JSON documentation input: src/libs/cgalpy/lib/docstrings/json/Interpolation.json. The exact ownership audit found no direct include of a public header owned by this package in tracked binding sources and no dedicated configuration, test, or authoritative build manifest.	No registered Python module or standalone stub exists for this package.	Documentation or example source material exists, but it is not connected to a registered binding module. Such source material alone does not constitute an exposed Python API.	No dedicated binding configuration, CMake test, or authoritative build manifest exists for this package.	The package has documentation or example source material but no Python binding route. Its classes and functions are not exposed through a standalone module, stub, generated module documentation, or dedicated variant.		VERIFIED-UNSUPPORTED-DOC-ONLY-CURRENT-SOURCE
Intersections_2	Intersections_2	Intersection routines for simple 2D objects.	LGPL (v3 or later)	UNSUPPORTED				none	The exact ownership audit found no direct include of a public header owned by this package in tracked binding sources, no dedicated JSON documentation input, no configuration or CMake test, no authoritative build manifest, and no dedicated Python example directory.	No registered Python module or standalone stub exists for this package.	No dedicated generated-docstring input or standalone Python module documentation was identified.	No dedicated binding configuration, CMake test, build manifest, or maintained Python example was identified.	No standalone or cross-delivered Python API is evidenced for this package. Its public API, module, stub, generated documentation, and binding-library route are absent.		VERIFIED-UNSUPPORTED-NO-BINDING-EVIDENCE-CURRENT-SOURCE
Intersections_3	Intersections_3	Intersections of 3D planes, lines, rays, segments and triangles.	LGPL (v3 or later)	UNSUPPORTED				none	The exact ownership audit found no direct include of a public header owned by this package in tracked binding sources, no dedicated JSON documentation input, no configuration or CMake test, no authoritative build manifest, and no dedicated Python example directory.	No registered Python module or standalone stub exists for this package.	No dedicated generated-docstring input or standalone Python module documentation was identified.	No dedicated binding configuration, CMake test, build manifest, or maintained Python example was identified.	No standalone or cross-delivered Python API is evidenced for this package. Its public API, module, stub, generated documentation, and binding-library route are absent.		VERIFIED-UNSUPPORTED-NO-BINDING-EVIDENCE-CURRENT-SOURCE
Interval_skip_list	Interval_skip_list	The interval skip list is a data structure for finding all intervals that contain a point, and for stabbing queries.	GPL (v3 or later)	UNSUPPORTED				none	Dedicated JSON documentation input: src/libs/cgalpy/lib/docstrings/json/Interval_skip_list.json. The exact ownership audit found no direct include of a public header owned by this package in tracked binding sources and no dedicated configuration, test, or authoritative build manifest.	No registered Python module or standalone stub exists for this package.	Documentation or example source material exists, but it is not connected to a registered binding module. Such source material alone does not constitute an exposed Python API.	No dedicated binding configuration, CMake test, or authoritative build manifest exists for this package.	The package has documentation or example source material but no Python binding route. Its classes and functions are not exposed through a standalone module, stub, generated module documentation, or dedicated variant.		VERIFIED-UNSUPPORTED-DOC-ONLY-CURRENT-SOURCE
Interval_support	Interval_support	provides support for interval types, that is, introduces: Interval_traits Bigfloat_interval_traits	LGPL (v3 or later)	UNSUPPORTED				none	The exact ownership audit found no direct include of a public header owned by this package in tracked binding sources, no dedicated JSON documentation input, no configuration or CMake test, no authoritative build manifest, and no dedicated Python example directory.	No registered Python module or standalone stub exists for this package.	No dedicated generated-docstring input or standalone Python module documentation was identified.	No dedicated binding configuration, CMake test, build manifest, or maintained Python example was identified.	No standalone or cross-delivered Python API is evidenced for this package. Its public API, module, stub, generated documentation, and binding-library route are absent.		VERIFIED-UNSUPPORTED-NO-BINDING-EVIDENCE-CURRENT-SOURCE
Isosurfacing_3	Isosurfacing_3	The 3D Isosurfacing package provides several isosurfacing algorithms (marching cubes, dual contouring) to generate triangle and quadrangle surface meshes from an input 3D domain and a user-defined isovalue.	GPL (v3 or later) GPL (v3 or later) AND MIT/X11 (BSD like)	UNSUPPORTED				none	Dedicated JSON documentation input: src/libs/cgalpy/lib/docstrings/json/Isosurfacing_3.json. The exact ownership audit found no direct include of a public header owned by this package in tracked binding sources and no dedicated configuration, test, or authoritative build manifest.	No registered Python module or standalone stub exists for this package.	Documentation or example source material exists, but it is not connected to a registered binding module. Such source material alone does not constitute an exposed Python API.	No dedicated binding configuration, CMake test, or authoritative build manifest exists for this package.	The package has documentation or example source material but no Python binding route. Its classes and functions are not exposed through a standalone module, stub, generated module documentation, or dedicated variant.		VERIFIED-UNSUPPORTED-DOC-ONLY-CURRENT-SOURCE
